"condName","belief_avg","WEPT_max","policy_avg","MacArthur_SES","Share","country","Gender","Age","Education.2","Politics2_1","Politics2_9","Income"
"CollectAction",88.5,1,89,7,1,"usa",2,35,3,97,89,5
"Control",50.25,0,66.2222222222222,5,0,"usa",1,39,3,87,72,4
"Letter2Future",84,1,84.2222222222222,8,1,"usa",1,55,3,13,40,5
"SciConsens",0.5,0,1.22222222222222,4,0,"usa",1,66,3,100,100,5
"PluralIgnorance",57.5,0,80.2222222222222,7,0,"usa",2,53,3,46,51,5
"DynamicNorm",80.5,1,66.6666666666667,4,1,"usa",1,58,3,58,50,4
"PsychDistance",56.5,1,58.8888888888889,6,1,"usa",1,41,2,64,52,4
"SystemJust",42.75,8,28.7777777777778,3,1,"usa",2,47,2,6,8,2
"DynamicNorm",11.5,8,31,7,0,"usa",1,65,3,73,93,5
"FutureSelfCont",100,8,97.8888888888889,7,1,"usa",2,71,3,3,7,6
"SciConsens",5.5,7,6.11111111111111,6,0,"usa",1,51,3,100,100,6
"Identity-Social-Norms-Intervention",22,1,31.3333333333333,5,0,"usa",2,51,2,93,88,7
"Identity-Social-Norms-Intervention",58.5,3,85.8888888888889,6,1,"usa",2,51,3,45,45,6
"PsychDistance",80.75,1,77.2222222222222,2,1,"usa",1,34,3,100,91,4
"Letter2Future",59.5,8,59.3333333333333,5,0,"usa",2,55,3,51,55,5
"CollectAction",27.75,0,38.5555555555556,7,1,"usa",2,63,3,75,75,5
"FutureSelfCont",100,8,11.1111111111111,7,0,"usa",2,40,2,100,NA,1
"Control",100,1,100,9,0,"usa",2,50,4,3,5,9
"SystemJust",92.25,0,84.3333333333333,6,1,"usa",1,71,3,53,52,5
"PsychDistance",60.5,0,76.5555555555556,5,2,"usa",2,67,3,65,51,5
"NegativeEmotions",68.75,2,45.7777777777778,6,2,"usa",1,70,3,50,42,6
"Control",30.25,8,66.4444444444444,6,0,"usa",1,36,3,48,49,5
"BindingMoral",14,8,18.2222222222222,3,2,"usa",1,59,3,100,100,5
"BindingMoral",4.5,8,8.88888888888889,6,0,"usa",2,50,2,100,100,6
"SystemJust",0,8,13.7777777777778,3,0,"usa",2,53,3,100,100,4
"Letter2Future",99,8,84.3333333333333,7,0,"usa",2,71,4,2,1,5
"SciConsens",59.25,7,46.6666666666667,5,2,"usa",1,69,3,47,46,6
"DynamicNorm",77.75,1,79,9,1,"usa",1,35,4,0,0,6
"CollectAction",71.75,2,67,10,1,"usa",1,34,4,81,73,6
"SystemJust",100,8,100,3,2,"usa",2,71,2,50,51,3
"PluralIgnorance",6.75,0,27,3,0,"usa",1,54,2,90,100,2
"Control",47.75,8,0,6,2,"usa",1,51,3,NA,NA,1
"CollectAction",74.5,8,51.1111111111111,6,2,"usa",2,31,2,55,50,5
"DynamicNorm",100,2,100,10,1,"usa",2,45,3,0,0,8
"PluralIgnorance",73,8,67.5555555555556,10,1,"usa",1,34,4,80,62,6
"Identity-Social-Norms-Intervention",75.5,0,58.3333333333333,3,0,"usa",2,22,2,55,80,2
